Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11308,10/9/2023,-0.061111057,-0.035711183,-0.035503536,21,100
Market-Adjusted Model,11368,10/9/2023,0.042600934,0.072421809,0.068208455,21,100
Market-Adjusted Model,11369,10/9/2023,-0.021690352,0.005914144,0.003917169,21,100
Market-Adjusted Model,11370,10/9/2023,-0.201836742,-0.190843841,-0.176229222,21,100
Market-Adjusted Model,11379,10/9/2023,-0.032482568,-0.001181777,-0.006875048,21,100
Market-Adjusted Model,11394,10/9/2023,-0.078838201,-0.03604287,-0.053230681,21,100
Market-Adjusted Model,11397,10/9/2023,-0.057554207,-0.031026008,-0.031946687,21,100
Market-Adjusted Model,11403,10/9/2023,0.040145643,0.067206383,0.065753164,21,100
Market-Adjusted Model,11404,10/9/2023,-0.046680671,-0.020179207,-0.02107315,21,100
Market-Adjusted Model,11407,10/9/2023,-0.114478736,-0.092829234,-0.088871216,21,100
Market-Adjusted Model,11442,10/9/2023,0.020929261,0.047179032,0.046536781,21,100
Market-Adjusted Model,11481,10/9/2023,-0.506465539,-0.63893949,-0.480858018,21,100
Market-Adjusted Model,11499,10/9/2023,-0.059574497,-0.031970894,-0.033966976,21,100
Market-Adjusted Model,11511,10/9/2023,-0.062043822,-0.034702044,-0.036436302,21,100
Market-Adjusted Model,11533,10/9/2023,0.042360394,0.069543057,0.067967915,21,100
Market-Adjusted Model,11547,10/9/2023,-0.068610996,-0.039023526,-0.043003476,21,100
Market-Adjusted Model,11565,10/9/2023,-0.039607906,-0.010383011,-0.014000386,21,100
Market-Adjusted Model,11581,10/9/2023,0.080567206,0.115278733,0.106174727,21,100
Market-Adjusted Model,11587,10/9/2023,-0.214909725,-0.209019043,-0.189302205,21,100
Market-Adjusted Model,11593,10/9/2023,-0.11002446,-0.085861165,-0.08441694,21,100
Market-Adjusted Model,11600,10/9/2023,-0.041539056,-0.014140854,-0.015931535,21,100
Market-Adjusted Model,11618,10/9/2023,0.058476336,0.085982901,0.084083856,21,100
Market-Adjusted Model,11628,10/9/2023,-0.051452805,-0.024385098,-0.025845284,21,100
Market-Adjusted Model,11636,10/9/2023,-0.404356434,-0.461677588,-0.378748913,21,100
Market-Adjusted Model,11644,10/9/2023,0.155555522,0.179854401,0.181163043,21,100
Market-Adjusted Model,11654,10/9/2023,-0.094368395,-0.06737852,-0.068760874,21,100
Market-Adjusted Model,11664,10/9/2023,-0.106745704,-0.081201731,-0.081138184,21,100
Market-Adjusted Model,11674,10/9/2023,-0.096412748,-0.073167837,-0.070805227,21,100
Market-Adjusted Model,11691,10/9/2023,-0.024457135,0.002771044,0.001150385,21,100
Market-Adjusted Model,11701,10/9/2023,0.040854773,0.06764084,0.066462293,21,100
Market-Adjusted Model,11731,10/9/2023,-0.048868614,-0.022893882,-0.023261094,21,100
Market-Adjusted Model,11748,10/9/2023,-0.040319773,-0.010299149,-0.014712252,21,100
Market-Adjusted Model,11752,10/9/2023,-0.0092741,0.024174392,0.01633342,21,100
Market-Adjusted Model,11762,10/9/2023,-0.080833262,-0.054670865,-0.055225742,21,100
Market-Adjusted Model,11775,10/9/2023,-0.045168974,-0.018697561,-0.019561453,21,100
Market-Adjusted Model,11790,10/9/2023,-0.08997272,-0.06715994,-0.064365199,21,100
Market-Adjusted Model,11803,10/9/2023,-0.100934576,-0.076967918,-0.075327055,21,100
Market-Adjusted Model,11809,10/9/2023,-0.07110393,-0.045386935,-0.04549641,21,100
Market-Adjusted Model,11844,10/9/2023,0.073855245,0.097899171,0.099462765,21,100
Market-Adjusted Model,11845,10/9/2023,-0.046273091,-0.018792221,-0.020665571,21,100
Market-Adjusted Model,11850,10/9/2023,-0.047764095,-0.019564086,-0.022156575,21,100
Market-Adjusted Model,11884,10/9/2023,-0.081015413,-0.054216662,-0.055407893,21,100
Market-Adjusted Model,11891,10/9/2023,0.002736686,0.032230794,0.028344207,21,100
Market-Adjusted Model,11955,10/9/2023,-0.003259374,0.022804874,0.022348146,21,100
Market-Adjusted Model,11990,10/9/2023,-0.111486489,-0.088406706,-0.085878969,21,100
Market-Adjusted Model,11995,10/9/2023,-0.047752098,-0.021038375,-0.022144578,21,100
Market-Adjusted Model,11996,10/9/2023,-0.024088764,0.001137475,0.001518757,21,100
Market-Adjusted Model,12008,10/9/2023,-0.067589714,-0.040720373,-0.041982194,21,100
Market-Adjusted Model,12009,10/9/2023,-0.036363598,-0.004165858,-0.010756077,21,100
Market-Adjusted Model,12015,10/9/2023,-0.037931027,-0.011037827,-0.012323506,21,100
Market-Adjusted Model,12017,10/9/2023,-0.446674199,-0.502387274,-0.421066679,21,100
Market-Adjusted Model,12034,10/9/2023,0.017987974,0.044320365,0.043595495,21,100
Market-Adjusted Model,12035,10/9/2023,0.011666705,0.037712747,0.037274226,21,100
Market-Adjusted Model,12036,10/9/2023,-0.033873521,-0.007470437,-0.008266001,21,100
Market-Adjusted Model,12039,10/9/2023,-0.031253579,-0.00448152,-0.005646058,21,100
Market-Adjusted Model,12049,10/9/2023,-0.077827083,-0.034464471,-0.052219562,21,100
Market-Adjusted Model,12052,10/9/2023,0.07460956,0.10138905,0.10021708,21,100
Market-Adjusted Model,12054,10/9/2023,-0.021269671,0.004487794,0.00433785,21,100
Market-Adjusted Model,12059,10/9/2023,-0.010838708,0.014466874,0.014768813,21,100
Market-Adjusted Model,12060,10/9/2023,-0.040302018,-0.014113264,-0.014694498,21,100
Market-Adjusted Model,12062,10/9/2023,-0.035193766,-0.009766565,-0.009586245,21,100
Market-Adjusted Model,12064,10/9/2023,0.004039386,0.029236631,0.029646907,21,100
Market-Adjusted Model,12065,10/9/2023,-0.014938163,0.010369946,0.010669358,21,100
Market-Adjusted Model,12066,10/9/2023,-0.006400564,0.019722036,0.019206956,21,100
Market-Adjusted Model,12068,10/9/2023,-0.045423253,-0.018455503,-0.019815733,21,100
Market-Adjusted Model,12070,10/9/2023,-0.04334749,-0.016446316,-0.017739969,21,100
Market-Adjusted Model,12075,10/9/2023,-0.030728157,-0.004858978,-0.005120637,21,100
Market-Adjusted Model,12076,10/9/2023,-0.018659704,0.015964333,0.006947816,21,100
Market-Adjusted Model,12078,10/9/2023,-0.041860449,-0.011334223,-0.016252928,21,100
Market-Adjusted Model,12082,10/9/2023,-0.00026263,0.033846048,0.02534489,21,100
Market-Adjusted Model,12084,10/9/2023,-0.073377651,-0.047647638,-0.047770131,21,100
Market-Adjusted Model,12098,10/9/2023,-0.038389189,-0.013179037,-0.012781669,21,100
Market-Adjusted Model,12103,10/9/2023,-0.039776221,-0.015199941,-0.014168701,21,100
Market-Adjusted Model,12105,10/9/2023,-0.058243694,-0.033540212,-0.032636174,21,100
Market-Adjusted Model,12109,10/9/2023,-0.078228807,-0.052484418,-0.052621287,21,100
Market-Adjusted Model,12146,10/9/2023,0.187036988,0.202092073,0.212644509,21,100
Market-Adjusted Model,12189,10/9/2023,-0.175555545,-0.155184681,-0.149948025,21,100
Market-Adjusted Model,12209,10/9/2023,-0.07971012,-9.87E-06,-0.054102599,21,100
Market-Adjusted Model,12211,10/9/2023,0.050732223,0.089913619,0.076339743,21,100
Market-Adjusted Model,12219,10/9/2023,-0.063385495,-0.038901473,-0.037777975,21,100
Market-Adjusted Model,12226,10/9/2023,-0.037250422,-0.008503355,-0.011642902,21,100
Market-Adjusted Model,12266,10/9/2023,-0.260416713,-0.257998464,-0.234809192,21,100
Market-Adjusted Model,12287,10/9/2023,-0.009136184,0.017238013,0.016471336,21,100
Market-Adjusted Model,12289,10/9/2023,-0.026514743,-0.001382617,-0.000907223,21,100
Market-Adjusted Model,12292,10/9/2023,-0.040394973,-0.014705426,-0.014787452,21,100
Market-Adjusted Model,12294,10/9/2023,-0.013116913,0.012638958,0.012490608,21,100
Market-Adjusted Model,12295,10/9/2023,-0.035035498,-0.009763534,-0.009427977,21,100
Market-Adjusted Model,12296,10/9/2023,-0.060117363,-0.035068741,-0.034509843,21,100
Market-Adjusted Model,12297,10/9/2023,-0.043364933,-0.017749293,-0.017757412,21,100
Market-Adjusted Model,12301,10/9/2023,-0.054162827,-0.028968141,-0.028555306,21,100
Market-Adjusted Model,12302,10/9/2023,-0.058079806,-0.033016167,-0.032472285,21,100
Market-Adjusted Model,12303,10/9/2023,-0.040360695,-0.014711174,-0.014753175,21,100
Market-Adjusted Model,12304,10/9/2023,-0.049040947,-0.023629266,-0.023433427,21,100
Market-Adjusted Model,12305,10/9/2023,-0.023139072,0.002442152,0.002468449,21,100
