Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,17133,10/9/2023,0.033066124,0.06361631,0.058673644,21,100
Market-Adjusted Model,17134,10/9/2023,0.104687405,0.157356326,0.130294926,21,100
Market-Adjusted Model,17135,10/9/2023,-0.217177896,-0.175707589,-0.191570376,21,100
Market-Adjusted Model,17137,10/9/2023,0.089195104,0.111870829,0.114802625,21,100
Market-Adjusted Model,17138,10/9/2023,-0.02530522,0.000137309,0.0003023,21,100
Market-Adjusted Model,17139,10/9/2023,-0.169827604,-0.150563551,-0.144220084,21,100
Market-Adjusted Model,17140,10/9/2023,0.100609728,0.13161749,0.126217249,21,100
Market-Adjusted Model,17141,10/9/2023,-0.281437076,-0.286701808,-0.255829555,21,100
Market-Adjusted Model,17142,10/9/2023,-0.054310151,-0.029129424,-0.028702631,21,100
Market-Adjusted Model,17144,10/9/2023,-0.015319553,0.011244814,0.010287968,21,100
Market-Adjusted Model,17146,10/9/2023,-0.140387291,-0.098757769,-0.11477977,21,100
Market-Adjusted Model,17147,10/9/2023,-0.164473709,-0.06446631,-0.138866189,21,100
Market-Adjusted Model,17148,10/9/2023,-0.026569961,0.002232502,-0.000962441,21,100
Market-Adjusted Model,17150,10/9/2023,-0.114537442,-0.088012362,-0.088929921,21,100
Market-Adjusted Model,17151,10/9/2023,-0.042357279,-0.014160686,-0.016749759,21,100
Market-Adjusted Model,17155,10/9/2023,-0.205117996,-0.184116982,-0.179510476,21,100
Market-Adjusted Model,17157,10/9/2023,0.076110716,0.10160964,0.101718237,21,100
Market-Adjusted Model,17178,10/9/2023,-0.402702719,-0.465043812,-0.377095198,21,100
Market-Adjusted Model,17183,10/9/2023,-0.0284833,-0.002884708,-0.002875779,21,100
Market-Adjusted Model,17184,10/9/2023,-0.019767922,0.005406189,0.005839599,21,100
Market-Adjusted Model,17190,10/9/2023,0.003073583,0.028272865,0.028681104,21,100
Market-Adjusted Model,17191,10/9/2023,-0.021047717,0.005089605,0.004559804,21,100
Market-Adjusted Model,17192,10/9/2023,-0.100597622,-0.077321708,-0.074990102,21,100
Market-Adjusted Model,17193,10/9/2023,-0.087686295,-0.064406488,-0.062078774,21,100
Market-Adjusted Model,17200,10/9/2023,-0.285602075,-0.288465092,-0.259994555,21,100
Market-Adjusted Model,17205,10/9/2023,-0.109445379,-0.087908004,-0.083837858,21,100
Market-Adjusted Model,17213,10/9/2023,-0.067898812,-0.044401525,-0.042291291,21,100
Market-Adjusted Model,17214,10/9/2023,-0.073397307,-0.050350468,-0.047789787,21,100
Market-Adjusted Model,17221,10/9/2023,0.144838989,0.169601411,0.170446509,21,100
Market-Adjusted Model,17222,10/9/2023,-0.226201388,-0.220231078,-0.200593867,21,100
Market-Adjusted Model,17223,10/9/2023,0.028716228,0.05746573,0.054323748,21,100
Market-Adjusted Model,17226,10/9/2023,-0.181208528,-0.168385947,-0.155601007,21,100
Market-Adjusted Model,17227,10/9/2023,-0.042387602,-0.016570885,-0.016780082,21,100
Market-Adjusted Model,17228,10/9/2023,-0.015595876,0.009617536,0.010011644,21,100
Market-Adjusted Model,17229,10/9/2023,-0.025212028,0.000361178,0.000395493,21,100
Market-Adjusted Model,17230,10/9/2023,0.011105566,0.039815136,0.036713087,21,100
Market-Adjusted Model,17235,10/9/2023,-0.021417543,0.003736279,0.004189977,21,100
Market-Adjusted Model,17236,10/9/2023,-0.013893715,0.011327011,0.011713805,21,100
Market-Adjusted Model,17237,10/9/2023,-0.012929464,0.012345006,0.012678057,21,100
Market-Adjusted Model,17238,10/9/2023,-0.044058666,-0.018678374,-0.018451146,21,100
Market-Adjusted Model,17243,10/9/2023,-0.059051761,-0.03474134,-0.03344424,21,100
Market-Adjusted Model,17244,10/9/2023,-0.059908043,-0.035561761,-0.034300523,21,100
Market-Adjusted Model,17245,10/9/2023,0.004155154,0.016777091,0.016974191,8,100
Market-Adjusted Model,17246,10/9/2023,-0.034261673,-0.007981444,-0.008654152,21,100
Market-Adjusted Model,17247,10/9/2023,-0.034967651,-0.010054021,-0.009360131,21,100
Market-Adjusted Model,17249,10/9/2023,-0.113323714,-0.092249693,-0.087716194,21,100
Market-Adjusted Model,17250,10/9/2023,-0.049160427,0.014590103,-0.023552907,21,100
Market-Adjusted Model,17251,10/9/2023,-0.076555016,-0.017447134,-0.050947496,21,100
Market-Adjusted Model,17252,10/9/2023,0.044222537,0.078105123,0.069830057,21,100
Market-Adjusted Model,17253,10/9/2023,0.014900583,0.041749971,0.040508104,21,100
Market-Adjusted Model,17254,10/9/2023,-0.081437162,-0.050340174,-0.055829642,21,100
Market-Adjusted Model,17262,10/9/2023,-0.248908265,-0.244235652,-0.223300745,21,100
Market-Adjusted Model,17263,10/9/2023,-0.249999979,-0.251203185,-0.224392459,21,100
Market-Adjusted Model,17264,10/9/2023,-0.04268226,-0.017836747,-0.01707474,21,100
Market-Adjusted Model,17265,10/9/2023,-0.047682896,-0.022743016,-0.022075375,21,100
Market-Adjusted Model,17266,10/9/2023,-0.253644343,-0.236989348,-0.228036823,21,100
Market-Adjusted Model,17269,10/9/2023,-0.305851016,-0.28293092,-0.280243495,21,100
Market-Adjusted Model,17270,10/9/2023,0.046728965,0.093209031,0.072336486,21,100
Market-Adjusted Model,17271,10/9/2023,-0.228260824,-0.221208142,-0.202653304,21,100
Market-Adjusted Model,17272,10/9/2023,-0.054794551,-0.004542874,-0.02918703,21,100
Market-Adjusted Model,17281,10/9/2023,0.026661257,0.057995079,0.052268778,21,100
Market-Adjusted Model,17286,10/9/2023,-0.003311251,0.041576146,0.02229627,21,100
Market-Adjusted Model,17287,10/9/2023,-0.145758308,-0.126167793,-0.120150787,21,100
Market-Adjusted Model,17297,10/9/2023,-0.041031456,-0.015927473,-0.015423936,21,100
Market-Adjusted Model,17298,10/9/2023,-0.047978953,-0.023108169,-0.022371433,21,100
Market-Adjusted Model,17300,10/9/2023,-0.020465984,0.005081404,0.005141537,21,100
Market-Adjusted Model,17301,10/9/2023,-0.115044242,-0.088527943,-0.089436721,21,100
Market-Adjusted Model,17302,10/9/2023,-0.021357568,0.005932072,0.004249953,21,100
Market-Adjusted Model,17307,10/9/2023,-0.082408303,-0.058707318,-0.056800782,21,100
Market-Adjusted Model,17309,10/9/2023,-0.354477623,-0.394413636,-0.328870103,21,100
Market-Adjusted Model,17310,10/9/2023,-0.214082512,-0.210904631,-0.188474992,21,100
Market-Adjusted Model,17313,10/9/2023,-0.229299368,-0.204829473,-0.203691848,21,100
Market-Adjusted Model,17315,10/9/2023,-0.187499998,-0.13003703,-0.161892478,21,100
Market-Adjusted Model,17316,10/9/2023,-0.158653815,-0.141843128,-0.133046294,21,100
Market-Adjusted Model,17317,10/9/2023,-0.161044567,-0.143475372,-0.135437046,21,100
Market-Adjusted Model,17318,10/9/2023,-0.226690252,-0.20978983,-0.201082732,21,100
Market-Adjusted Model,17323,10/9/2023,-0.066571418,-0.031168063,-0.040963898,21,100
Market-Adjusted Model,17324,10/9/2023,-0.252659587,-0.255411762,-0.227052067,21,100
Market-Adjusted Model,17325,10/9/2023,0.178947382,0.220466365,0.204554902,21,100
Market-Adjusted Model,17326,10/9/2023,0.238461505,0.333229963,0.264069026,21,100
Market-Adjusted Model,17327,10/9/2023,0.206249947,0.228948194,0.231857467,21,100
Market-Adjusted Model,17328,10/9/2023,-0.065756768,-0.041283266,-0.040149248,21,100
Market-Adjusted Model,17330,10/9/2023,-0.3069307,-0.299533085,-0.281323179,21,100
Market-Adjusted Model,17332,10/9/2023,-0.144678305,-0.1289234,-0.119070785,21,100
Market-Adjusted Model,17341,10/9/2023,0.070990627,0.101451997,0.096598147,21,100
Market-Adjusted Model,17342,10/9/2023,-0.01338783,0.013092071,0.01221969,21,100
Market-Adjusted Model,17343,10/9/2023,-0.057142915,-0.023613187,-0.031535395,21,100
Market-Adjusted Model,17344,10/9/2023,-0.264999988,-0.263663534,-0.239392468,21,100
Market-Adjusted Model,17345,10/9/2023,-0.242501991,-0.221894222,-0.216894471,21,100
Market-Adjusted Model,17346,10/9/2023,-0.073992622,-0.044405493,-0.048385102,21,100
Market-Adjusted Model,17349,10/9/2023,-0.20274919,-0.150942434,-0.17714167,21,100
Market-Adjusted Model,17350,10/9/2023,-0.05731836,-0.029543595,-0.031710839,21,100
Market-Adjusted Model,17351,10/9/2023,-0.147368405,-0.115937845,-0.121760884,21,100
Market-Adjusted Model,17353,10/9/2023,-0.062221389,-0.037679667,-0.036613868,21,100
Market-Adjusted Model,17354,10/9/2023,0.052884684,0.094493389,0.078492205,21,100
Market-Adjusted Model,17357,10/9/2023,-0.028513178,0.002718898,-0.002905658,21,100
Market-Adjusted Model,17358,10/9/2023,-0.128205113,-0.104764576,-0.102597592,21,100
Market-Adjusted Model,17359,10/9/2023,-0.063621588,-0.031944723,-0.038014067,21,100
Market-Adjusted Model,17360,10/9/2023,-0.257739953,-0.259293343,-0.232132433,21,100
Market-Adjusted Model,17361,10/9/2023,-0.542904293,-0.630548431,-0.517296773,21,100
Market-Adjusted Model,17362,10/9/2023,-0.044117655,-0.013734011,-0.018510134,21,100
Market-Adjusted Model,17365,10/9/2023,-0.153846185,-0.088236303,-0.128238664,21,100
Market-Adjusted Model,17366,10/9/2023,0.049362986,0.084586113,0.074970506,21,100
Market-Adjusted Model,17367,10/9/2023,-0.096728349,-0.073100323,-0.071120828,21,100
Market-Adjusted Model,17368,10/9/2023,-0.093247578,-0.071166025,-0.067640058,21,100
Market-Adjusted Model,17369,10/9/2023,-0.093130447,-0.066562354,-0.067522926,21,100
Market-Adjusted Model,17370,10/9/2023,0.364126951,0.401488956,0.389734471,21,100
Market-Adjusted Model,17372,10/9/2023,-0.110778499,-0.087888189,-0.085170978,21,100
Market-Adjusted Model,17373,10/9/2023,-0.217607963,-0.215525109,-0.192000442,21,100
Market-Adjusted Model,17374,10/9/2023,-0.179513141,-0.16335019,-0.15390562,21,100
Market-Adjusted Model,17375,10/9/2023,-0.064250001,-0.039572364,-0.03864248,21,100
Market-Adjusted Model,17377,10/9/2023,0.001808272,0.035692632,0.027415792,21,100
Market-Adjusted Model,17378,10/9/2023,-0.040178535,-0.013417883,-0.014571014,21,100
Market-Adjusted Model,17379,10/9/2023,-0.019801958,0.009477002,0.005805562,21,100
Market-Adjusted Model,17380,10/9/2023,0.077319598,0.118533498,0.102927118,21,100
Market-Adjusted Model,17381,10/9/2023,-0.040431248,-0.012949358,-0.014823727,21,100
Market-Adjusted Model,17382,10/9/2023,-0.092417035,-0.06444918,-0.066809515,21,100
Market-Adjusted Model,17383,10/9/2023,-0.053732026,-0.028743903,-0.028124505,21,100
Market-Adjusted Model,17384,10/9/2023,-0.072500038,-0.048001091,-0.046892518,21,100
Market-Adjusted Model,17385,10/9/2023,-0.126852704,-0.10738976,-0.101245184,21,100
Market-Adjusted Model,17389,10/9/2023,-0.028602187,-0.002194446,-0.002994666,21,100
Market-Adjusted Model,17390,10/9/2023,-0.072887256,-0.049074306,-0.047279735,21,100
Market-Adjusted Model,17391,10/9/2023,-0.041742102,-0.016131562,-0.016134582,21,100
Market-Adjusted Model,17392,10/9/2023,-0.034065675,-0.007351276,-0.008458155,21,100
Market-Adjusted Model,17393,10/9/2023,-0.046271445,-0.020928069,-0.020663925,21,100
Market-Adjusted Model,17395,10/9/2023,-0.01904611,0.006240325,0.006561411,21,100
Market-Adjusted Model,17397,10/9/2023,0.00471779,0.029897717,0.03032531,21,100
Market-Adjusted Model,17406,10/9/2023,-0.038754289,-0.013432356,-0.013146769,21,100
Market-Adjusted Model,17407,10/9/2023,-0.003850879,0.022092165,0.021756642,21,100
Market-Adjusted Model,17412,10/9/2023,-0.045939791,-0.02083539,-0.020332271,21,100
Market-Adjusted Model,17415,10/9/2023,-0.02028829,0.005170423,0.00531923,21,100
Market-Adjusted Model,17440,10/9/2023,-0.054522485,-0.030128097,-0.028914964,21,100
Market-Adjusted Model,17444,10/9/2023,-0.109594116,-0.083351935,-0.083986595,21,100
Market-Adjusted Model,17445,10/9/2023,-0.018240612,0.007451472,0.007366909,21,100
Market-Adjusted Model,17446,10/9/2023,-0.042795799,-0.017370355,-0.017188279,21,100
Market-Adjusted Model,17447,10/9/2023,-0.033854791,-0.008258065,-0.008247271,21,100
Market-Adjusted Model,17449,10/9/2023,-0.06108666,-0.037148504,-0.03547914,21,100
Market-Adjusted Model,17450,10/9/2023,-0.052038438,-0.026267216,-0.026430917,21,100
Market-Adjusted Model,17453,10/9/2023,-0.041243289,-0.014848451,-0.015635768,21,100
Market-Adjusted Model,17454,10/9/2023,-0.04014497,-0.014930751,-0.01453745,21,100
Market-Adjusted Model,17456,10/9/2023,-0.015972639,0.009288836,0.009634881,21,100
Market-Adjusted Model,17457,10/9/2023,-0.019594738,0.0054847,0.006012782,21,100
Market-Adjusted Model,17459,10/9/2023,-0.078762371,-0.055492066,-0.053154851,21,100
Market-Adjusted Model,17460,10/9/2023,-0.046791713,-0.021396247,-0.021184193,21,100
Market-Adjusted Model,17461,10/9/2023,0.003982012,0.029165267,0.029589533,21,100
Market-Adjusted Model,17464,10/9/2023,-0.007161065,0.019294239,0.018446456,21,100
Market-Adjusted Model,17466,10/9/2023,-0.029741438,-0.004116227,-0.004133918,21,100
Market-Adjusted Model,17469,10/9/2023,0.002183561,0.027376631,0.027791082,21,100
Market-Adjusted Model,17473,10/9/2023,-0.029917945,-0.004938266,-0.004310425,21,100
Market-Adjusted Model,17476,10/9/2023,-0.041525771,-0.016516279,-0.015918251,21,100
Market-Adjusted Model,17477,10/9/2023,-0.073278138,-0.050328526,-0.047670618,21,100
Market-Adjusted Model,17478,10/9/2023,-0.057816975,-0.032700525,-0.032209454,21,100
Market-Adjusted Model,17479,10/9/2023,0.00400556,0.029188678,0.029613081,21,100
Market-Adjusted Model,17480,10/9/2023,-0.029105241,-0.00406092,-0.003497721,21,100
Market-Adjusted Model,17483,10/9/2023,-0.028417232,-0.003358239,-0.002809712,21,100
Market-Adjusted Model,17484,10/9/2023,-0.014705172,0.010529449,0.010902349,21,100
Market-Adjusted Model,17485,10/9/2023,-0.052792604,-0.027586017,-0.027185083,21,100
Market-Adjusted Model,17489,10/9/2023,0.002804171,0.027996331,0.028411691,21,100
Market-Adjusted Model,17490,10/9/2023,-0.035701323,-0.010419708,-0.010093802,21,100
Market-Adjusted Model,17491,10/9/2023,-0.051753211,-0.027155623,-0.02614569,21,100
Market-Adjusted Model,17506,10/9/2023,-0.006342091,0.018912225,0.01926543,21,100
Market-Adjusted Model,17512,10/9/2023,-0.060394529,-0.035517774,-0.034787008,21,100
Market-Adjusted Model,17513,10/9/2023,0.000551667,0.025744033,0.026159187,21,100
Market-Adjusted Model,17514,10/9/2023,-0.068408688,-0.044159187,-0.042801167,21,100
Market-Adjusted Model,17517,10/9/2023,-0.018476819,0.006732201,0.007130702,21,100
Market-Adjusted Model,17518,10/9/2023,-0.036807462,-0.011701579,-0.011199941,21,100
Market-Adjusted Model,17519,10/9/2023,0.004043011,0.029226897,0.029650532,21,100
Market-Adjusted Model,17520,10/9/2023,-0.013701052,0.011483301,0.011906468,21,100
Market-Adjusted Model,17521,10/9/2023,-0.018745067,0.006438024,0.006862454,21,100
Market-Adjusted Model,17522,10/9/2023,-0.065957874,-0.042012879,-0.040350353,21,100
Market-Adjusted Model,17524,10/9/2023,-0.050352238,-0.025807164,-0.024744717,21,100
Market-Adjusted Model,17526,10/9/2023,-0.045914695,-0.021170992,-0.020307175,21,100
Market-Adjusted Model,17528,10/9/2023,-0.050089511,-0.024904027,-0.024481991,21,100
Market-Adjusted Model,17530,10/9/2023,-0.012844933,0.012948368,0.012762588,21,100
Market-Adjusted Model,17533,10/9/2023,0.002240557,0.003845114,0.004196537,10,100
Market-Adjusted Model,17534,10/9/2023,0.005844342,0.007495608,0.007800322,10,100
Market-Adjusted Model,17540,10/9/2023,-0.013335604,0.012841699,0.012271916,21,100
Market-Adjusted Model,17541,10/9/2023,-0.050234989,-0.025712503,-0.024627468,21,100
Market-Adjusted Model,17542,10/9/2023,-0.038893406,-0.013125137,-0.013285886,21,100
Market-Adjusted Model,17543,10/9/2023,-0.059357505,-0.034799126,-0.033749985,21,100
Market-Adjusted Model,17544,10/9/2023,-0.070240842,-0.046080571,-0.044633321,21,100
Market-Adjusted Model,17545,10/9/2023,-0.046039659,-0.0206679,-0.020432139,21,100
Market-Adjusted Model,17546,10/9/2023,-0.053126106,-0.028289932,-0.027518585,21,100
Market-Adjusted Model,17547,10/9/2023,-0.040030192,-0.014608044,-0.014422672,21,100
Market-Adjusted Model,17561,10/9/2023,-0.022891223,0.002660592,0.002716298,21,100
Market-Adjusted Model,17562,10/9/2023,-0.019783051,0.005706105,0.005824469,21,100
Market-Adjusted Model,17563,10/9/2023,-0.001788629,0.023706727,0.023818892,21,100
Market-Adjusted Model,17565,10/9/2023,-0.032886721,-0.007549316,-0.007279201,21,100
Market-Adjusted Model,17568,10/9/2023,-0.008514877,0.017156156,0.017092644,21,100
Market-Adjusted Model,17569,10/9/2023,-0.033749113,-0.007432652,-0.008141592,21,100
Market-Adjusted Model,17570,10/9/2023,-0.043478243,-0.018139488,-0.017870722,21,100
Market-Adjusted Model,17571,10/9/2023,-0.015324889,0.010647083,0.010282631,21,100
Market-Adjusted Model,17577,10/9/2023,0.002024971,0.027248722,0.027632491,21,100
Market-Adjusted Model,17580,10/9/2023,-0.024163589,0.001447086,0.001443931,21,100
Market-Adjusted Model,17581,10/9/2023,-0.036184523,-0.011168986,-0.010577003,21,100
Market-Adjusted Model,17584,10/9/2023,-0.037767349,-0.012011904,-0.012159828,21,100
Market-Adjusted Model,17587,10/9/2023,-0.078417206,-0.054976116,-0.052809685,21,100
Market-Adjusted Model,17589,10/9/2023,-0.031859992,-0.007094953,-0.006252471,21,100
Market-Adjusted Model,17591,10/9/2023,-0.008845981,0.019835843,0.016761539,21,100
Market-Adjusted Model,17593,10/9/2023,-0.000022483,0.025211301,0.025585038,21,100
Market-Adjusted Model,17595,10/9/2023,-0.078952263,-0.056310096,-0.053344742,21,100
Market-Adjusted Model,17598,10/9/2023,-0.052114487,-0.02734445,-0.026506966,21,100
Market-Adjusted Model,17599,10/9/2023,-0.009321094,0.01592,0.016286427,21,100
Market-Adjusted Model,17600,10/9/2023,-0.000785804,0.024439608,0.024821716,21,100
Market-Adjusted Model,17601,10/9/2023,-0.005656308,0.020540428,0.019951212,21,100
Market-Adjusted Model,17607,10/9/2023,0.005660873,0.030845004,0.031268394,21,100
Market-Adjusted Model,17608,10/9/2023,-0.022401839,0.002603171,0.003205682,21,100
Market-Adjusted Model,17610,10/9/2023,-0.016209381,0.009512685,0.009398139,21,100
Market-Adjusted Model,17613,10/9/2023,-0.025163078,0.000419083,0.000444443,21,100
Market-Adjusted Model,17614,10/9/2023,-0.026084439,-0.000442591,-0.000476919,21,100
Market-Adjusted Model,17615,10/9/2023,-0.049316891,-0.02440365,-0.02370937,21,100
Market-Adjusted Model,17621,10/9/2023,-0.021560051,0.003841834,0.004047469,21,100
Market-Adjusted Model,17622,10/9/2023,-0.041827965,-0.016039023,-0.016220444,21,100
Market-Adjusted Model,17623,10/9/2023,-0.029012416,-0.003185431,-0.003404896,21,100
Market-Adjusted Model,17624,10/9/2023,-0.024536034,0.001285833,0.001071487,21,100
Market-Adjusted Model,17625,10/9/2023,-0.040967721,-0.015426011,-0.0153602,21,100
Market-Adjusted Model,17626,10/9/2023,-0.041614672,-0.016537165,-0.016007152,21,100
Market-Adjusted Model,17628,10/9/2023,-0.001901736,0.023327476,0.023705785,21,100
Market-Adjusted Model,17629,10/9/2023,-0.021408729,0.003787427,0.004198791,21,100
Market-Adjusted Model,17630,10/9/2023,-0.028624998,-0.003529811,-0.003017478,21,100
Market-Adjusted Model,17631,10/9/2023,-0.048043611,-0.023193732,-0.022436091,21,100
Market-Adjusted Model,17633,10/9/2023,-0.043755574,-0.018964676,-0.018148054,21,100
Market-Adjusted Model,17634,10/9/2023,-0.056057139,-0.031763111,-0.030449618,21,100
Market-Adjusted Model,17644,10/9/2023,-0.039686952,-0.014561156,-0.014079432,21,100
Market-Adjusted Model,17645,10/9/2023,-0.001739028,0.023482343,0.023868492,21,100
Market-Adjusted Model,17649,10/9/2023,-0.02470438,0.000858757,0.000903141,21,100
Market-Adjusted Model,17650,10/9/2023,-0.0382312,-0.013202419,-0.01262368,21,100
Market-Adjusted Model,17653,10/9/2023,-0.009684505,0.015751699,0.015923015,21,100
Market-Adjusted Model,17656,10/9/2023,-0.026830983,-0.001773415,-0.001223463,21,100
Market-Adjusted Model,17657,10/9/2023,-0.019334545,0.006160884,0.006272975,21,100
Market-Adjusted Model,17658,10/9/2023,-0.016605475,0.009507041,0.009002046,21,100
Market-Adjusted Model,17659,10/9/2023,0.006308884,0.007913259,0.008264863,10,100
Market-Adjusted Model,17660,10/9/2023,0.00331465,0.004932552,0.005270629,10,100
Market-Adjusted Model,17665,10/9/2023,-0.052795375,-0.027160516,-0.027187854,21,100
Market-Adjusted Model,17666,10/9/2023,-0.083348633,-0.059936633,-0.057741113,21,100
Market-Adjusted Model,17667,10/9/2023,-0.06422015,-0.039446958,-0.03861263,21,100
Market-Adjusted Model,17672,10/9/2023,-0.110497199,-0.083151292,-0.084889679,21,100
Market-Adjusted Model,17674,10/9/2023,-0.014970652,0.01027523,0.010636869,21,100
Market-Adjusted Model,17676,10/9/2023,-0.110570331,-0.085605739,-0.08496281,21,100
Market-Adjusted Model,17677,10/9/2023,-0.080832297,-0.046773195,-0.055224776,21,100
Market-Adjusted Model,17678,10/9/2023,-0.071428569,-0.03085674,-0.045821048,21,100
Market-Adjusted Model,17679,10/9/2023,-0.000548862,0.026334929,0.025058659,21,100
Market-Adjusted Model,17683,10/9/2023,0.011612925,0.038962958,0.037220445,21,100
Market-Adjusted Model,17684,10/9/2023,-0.129069823,-0.093731532,-0.103462303,21,100
Market-Adjusted Model,17685,10/9/2023,-0.034216821,-0.00697933,-0.0086093,21,100
Market-Adjusted Model,17686,10/9/2023,-0.088235286,-0.064737092,-0.062627766,21,100
Market-Adjusted Model,17688,10/9/2023,-0.101544023,-0.077630058,-0.075936503,21,100
Market-Adjusted Model,17690,10/9/2023,-0.112454682,-0.064851296,-0.086847161,21,100
Market-Adjusted Model,17691,10/9/2023,-0.14912287,-0.132205152,-0.123515349,21,100
Market-Adjusted Model,17693,10/9/2023,-0.138894381,-0.111346267,-0.113286861,21,100
Market-Adjusted Model,17694,10/9/2023,-0.089333345,-0.056729253,-0.063725825,21,100
Market-Adjusted Model,17696,10/9/2023,-0.065767265,-0.040449945,-0.040159745,21,100
Market-Adjusted Model,17700,10/9/2023,0.058778299,0.085326306,0.084385819,21,100
Market-Adjusted Model,17701,10/9/2023,0.025374266,0.055596779,0.050981786,21,100
Market-Adjusted Model,17702,10/9/2023,-0.019079725,0.006414866,0.006527796,21,100
Market-Adjusted Model,17703,10/9/2023,-0.115117053,-0.089473634,-0.089509533,21,100
Market-Adjusted Model,17704,10/9/2023,-0.035654584,-0.010705755,-0.010047064,21,100
Market-Adjusted Model,17705,10/9/2023,-0.011663492,0.01405212,0.013944028,21,100
Market-Adjusted Model,17706,10/9/2023,0.003935944,0.029119539,0.029543464,21,100
Market-Adjusted Model,17707,10/9/2023,-0.02860592,-0.003547502,-0.0029984,21,100
Market-Adjusted Model,17708,10/9/2023,0.00375234,0.028936832,0.029359861,21,100
Market-Adjusted Model,17710,10/9/2023,-0.051400936,-0.026169404,-0.025793415,21,100
Market-Adjusted Model,17713,10/9/2023,-0.059676382,-0.034859276,-0.034068861,21,100
Market-Adjusted Model,17720,10/9/2023,-0.035142705,-0.010198421,-0.009535185,21,100
Market-Adjusted Model,17722,10/9/2023,-0.064882414,-0.040765899,-0.039274894,21,100
Market-Adjusted Model,17723,10/9/2023,-0.064879846,-0.039728182,-0.039272325,21,100
Market-Adjusted Model,17724,10/9/2023,-0.042093176,-0.016405673,-0.016485656,21,100
Market-Adjusted Model,17726,10/9/2023,-0.119771468,-0.098310695,-0.094163947,21,100
Market-Adjusted Model,17728,10/9/2023,-0.051525619,-0.025686759,-0.025918098,21,100
Market-Adjusted Model,17729,10/9/2023,-0.032495489,-0.006508774,-0.006887968,21,100
Market-Adjusted Model,17730,10/9/2023,-0.027604056,-0.001252769,-0.001996536,21,100
Market-Adjusted Model,17731,10/9/2023,-0.011111142,0.014735496,0.014496378,21,100
Market-Adjusted Model,17732,10/9/2023,-0.028740839,-0.003067118,-0.003133318,21,100
Market-Adjusted Model,17733,10/9/2023,-0.064258659,-0.040202549,-0.038651139,21,100
Market-Adjusted Model,17736,10/9/2023,-0.01034366,0.015796592,0.015263861,21,100
Market-Adjusted Model,17737,10/9/2023,-0.071356348,-0.046424065,-0.045748828,21,100
Market-Adjusted Model,17738,10/9/2023,-0.042378936,-0.016746799,-0.016771415,21,100
Market-Adjusted Model,17739,10/9/2023,-0.058069562,-0.03303236,-0.032462042,21,100
Market-Adjusted Model,17740,10/9/2023,-0.059938601,-0.035131108,-0.03433108,21,100
Market-Adjusted Model,17741,10/9/2023,-0.040656701,-0.015059581,-0.015049181,21,100
Market-Adjusted Model,17743,10/9/2023,-0.031120078,-0.004882888,-0.005512557,21,100
Market-Adjusted Model,17744,10/9/2023,-0.039593175,-0.014517428,-0.013985655,21,100
Market-Adjusted Model,17745,10/9/2023,-0.053501733,-0.028468458,-0.027894213,21,100
Market-Adjusted Model,17746,10/9/2023,-0.045903727,-0.020945983,-0.020296206,21,100
Market-Adjusted Model,17747,10/9/2023,0.02254448,0.050318852,0.048152,21,100
Market-Adjusted Model,17748,10/9/2023,-0.062244692,-0.038221009,-0.036637172,21,100
Market-Adjusted Model,17749,10/9/2023,-0.055204041,-0.030205809,-0.02959652,21,100
Market-Adjusted Model,17750,10/9/2023,-0.017423599,0.008478009,0.008183922,21,100
Market-Adjusted Model,17754,10/9/2023,-0.0341432,-0.007662215,-0.00853568,21,100
Market-Adjusted Model,17764,10/9/2023,-0.023020378,0.002664647,0.002587143,21,100
Market-Adjusted Model,17765,10/9/2023,-0.006006447,0.019251924,0.019601074,21,100
Market-Adjusted Model,17766,10/9/2023,-0.000660802,0.024569899,0.024946718,21,100
Market-Adjusted Model,17768,10/9/2023,0.003963686,0.029157628,0.029571207,21,100
Market-Adjusted Model,17771,10/9/2023,0.002768066,0.027976039,0.028375587,21,100
Market-Adjusted Model,17772,10/9/2023,0.003634899,0.028821839,0.029242419,21,100
Market-Adjusted Model,17773,10/9/2023,0.004951032,0.030134136,0.030558553,21,100
Market-Adjusted Model,17774,10/9/2023,0.004198499,0.029381416,0.029806019,21,100
Market-Adjusted Model,17778,10/9/2023,-0.061724837,-0.037867717,-0.036117317,21,100
Market-Adjusted Model,17779,10/9/2023,-0.030013315,-0.004940606,-0.004405794,21,100
Market-Adjusted Model,17780,10/9/2023,-0.019791212,0.006014554,0.005816309,21,100
Market-Adjusted Model,17781,10/9/2023,-0.070422593,-0.074532593,-0.074532593,1,100
Market-Adjusted Model,17782,10/9/2023,-0.01112891,0.018917834,0.014478611,21,100
Market-Adjusted Model,17783,10/9/2023,-0.05799676,-0.030688732,-0.032389239,21,100
Market-Adjusted Model,17787,10/9/2023,-0.043137221,-0.015824689,-0.017529701,21,100
Market-Adjusted Model,17794,10/9/2023,0.0177003,0.048642857,0.043307821,21,100
Market-Adjusted Model,17797,10/9/2023,0.063632717,0.091295355,0.089240237,21,100
Market-Adjusted Model,17799,10/9/2023,-0.19081083,-0.166766274,-0.16520331,21,100
Market-Adjusted Model,17800,10/9/2023,0.027225155,0.053963716,0.052832676,21,100
Market-Adjusted Model,17801,10/9/2023,0.075906691,0.104618962,0.101514211,21,100
